Frequency,Nominal,Min,Max
4.88,-53.34311373122975,-64.96703900883476,-42.100625841580744
5,-54.69037641332184,-66.6223346808989,-43.15414456229474
5.15,-56.37780199296877,-68.69579659277788,-44.47291390947825
5.3,-58.06895431592619,-70.77382346484153,-45.793808463367746
5.5,-60.3296020361355,-73.55103731208968,-47.558386817686845
5.65,-62.02937860404623,-75.63830013762848,-48.88441420303385
5.8,-63.73277027503927,-77.7287598475894,-50.21270617896162
6,-66.00943813519577,-80.52004750039889,-51.98733979477452
6.15,-67.72090497698696,-82.61570096114728,-53.321032088904595
6.3,-69.43561685549446,-84.71244734488012,-54.657075434779145
6.45,-71.15340511482617,-86.80951099761178,-55.99548302090706
6.6,-72.87407251396401,-88.90605212765952,-57.336261338810544
6.75,-74.59739230983206,-91.00116951650821,-58.67940971912841
6.88,-76.09288376823667,-92.81504634840184,-59.84538256013189
7,-77.47477418542503,-94.48723859278294,-60.92323098143243
7.15,-79.20382657017213,-96.57372725837415,-62.27263679951141
7.32,-81.16528337829126,-98.93208255613848,-63.8047404185218
7.5,-83.24369521388877,-101.42007065850612,-65.43011958712187
7.65,-84.97644292230008,-103.48482515839666,-66.78701522147144
7.8,-86.70938975032774,-105.54052172290439,-68.14603732089992
8,-89.01947265322718,-108.26528002658742,-69.96124491129535
8.2,-91.32786295652632,-110.9689337353728,-71.77989350926646
8.4,-93.63327401735948,-113.64863943017953,-73.60174066542895
8.6,-95.93434113005175,-116.30160699586335,-75.42650663059474
8.8,-98.22963004839167,-118.92513282311859,-77.25387341529594
9,-100.51764679379636,-121.5166307539412,-79.08348410142399
9.2,-102.79684860631536,-124.07365998511852,-80.91494243255015
9.4,-105.0656558590018,-126.59394929382094,-82.74781270736348
9.6,-107.3224647245909,-129.0754171218459,-84.58161999783957
9.8,-109.56566035830522,-131.51618723805632,-86.41585071022264
10,-111.79363034329862,-133.9145998799682,-88.24995350269407
10.2,-114.0047781367025,-136.2692184445073,-90.08334056875434
10.4,-116.1975362549093,-138.57883194603866,-91.9153892899383
10.6,-118.37037894657288,-140.8424535808782,-93.74544425561548
10.8,-120.52183412026156,-143.05931582837417,-95.57281964142504
11,-122.65049431973796,-145.2288625786368,-97.39680193150629
11.2,-124.75502657205175,-147.35073880764833,-99.2166529632817
11.5,-127.86387539721241,-150.44385567331412,-101.93701711766722
11.8,-130.91181379738265,-153.42954365500742,-104.64373911208952
12,-132.90826557860402,-155.36075390733976,-106.43931266469176
12.2,-134.875293493899,-157.2450659092273,-108.22681965358022
12.5,-137.7690432192285,-159.9848526569202,-110.89118803355225
12.8,-140.59281076053784,-162.62270065647652,-113.532877154523
13,-142.43564099577668,-164.32595412278033,-115.28008427951687
13.2,-144.24631041308896,-165.98597644977926,-117.01525300045289
13.5,-146.9014946738839,-168.39699568012287,-119.59379241059699
13.8,-149.48332018469716,-170.7161358084475,-122.14111274331853
14,-151.1637478402006,-172.2128696876276,-123.82083837627225
14.2,-152.81163184107194,-173.67131766214337,-125.485018243126
14.5,-155.222792543362,-175.78947507526786,-127.95081730137511
14.8,-157.56187150194162,-177.82732763068432,-130.37837675252683
15,-159.08172397116655,-179.14299811972273,-131.97465626578207
15.5,-162.7457745095765,-182.28939608730934,-135.88479367868808
16,-166.22177486969395,-185.24404776843693,-139.67527249105117
16.5,-169.5176721880422,-188.0215340632858,-143.34175265832002
17,-172.64211995005493,-190.63551554657312,-146.8814543843462
17.5,-175.60414339645055,-193.0986795585134,-150.29304730030964
18,-178.41287672000655,-195.4227352164073,-153.57650194415308
18.5,-181.07736420569253,-197.61844000608468,-156.7329191612948
19,-183.6064156698427,-199.69564598582062,-159.76435097515053
19.5,-186.00850631853422,-201.66335708390793,-162.67362370940313
20,-188.29171183051002,-203.52979159173663,-165.46417120942402
20.5,-190.4636706130323,-205.30244589034425,-168.13988327859707
21,-192.53156647548278,-206.98815684604483,-170.70497213113265
21.5,-194.50212623339135,-208.59316129912176,-173.16385785231589
22,-196.38162789911013,-210.12315175468302,-175.52107254562512
22.5,-198.17591609477344,-211.58332784957955,-177.7811819757664
23,-199.89042213221015,-212.97844347668632,-179.94872300499796
23.5,-201.53018685494027,-214.3128496444534,-182.02815488050427
24,-203.09988484938472,-215.5905332694026,-184.0238223839815
24.5,-204.6038490284501,-216.81515216654427,-185.93992893517014
25,-206.04609489237524,-217.9900665348209,-187.78051789763472
25.5,-207.4303439984377,-219.11836724378534,-189.54946053012213
26,-208.76004633917978,-220.20290122221752,-191.2504492343772
27,-211.2683781685629,-222.2509713157953,-194.46242776379054
27.5,-212.45273298463792,-223.2191750999049,-195.97989987215797
28,-213.5940270545281,-224.1529822827622,-197.44239037904788
28.5,-214.6946418673148,-225.0543184037535,-198.85271129282341
29,-215.7567936608974,-225.9249711376743,-200.21351438788577
29.5,-216.78254665021814,-226.76660225532123,-201.52729858676935
30,-217.7738251485576,-227.58075839759874,-202.79641761867288
30.5,-218.7324246626387,-228.3688807915109,-204.02308776548867
31,-219.66002204120315,-229.13231402205574,-205.2093955535258
31.5,-220.55818475394642,-229.87231396119952,-206.35730528670334
32,-221.42837937384533,-230.59005494366923,-207.4686663467045
33,-223.09027200494774,-231.96308810141645,-209.5886071407306
34,-224.65569310844896,-233.2594099299313,-211.58197307065961
35,-226.13345370318294,-234.48607092415654,-213.4600952414226
36,-227.53134988822197,-235.64931207135382,-215.23305684744972
37,-228.85630335464262,-236.75467851687702,-216.90984821277138
39,-231.31138892210276,-238.8110444771304,-220.00621298484
40,-232.451969458267,-239.77043855017556,-221.43943705830947
41,-233.54066123774322,-240.68887202590352,-222.80398365209967
42,-234.58146692970627,-241.5695732106513,-224.1050911122215
43.2,-235.77229440195453,-242.58070477967732,-225.5893146632484
44.5,-236.9969004300471,-243.6247775022902,-227.11029971636978
45.8,-238.15959336531495,-244.62047823475237,-228.54893384729536
47.5,-239.59589242084652,-245.85710712489674,-230.31806269532487
48.8,-240.63615277176953,-246.7578304012026,-231.59330493157208
50,-241.55588884147528,-247.5581218994614,-232.7161692571501
51.5,-242.65564628750124,-248.5203557369184,-234.0526467330823
53,-243.7049251622975,-249.44432539631225,-235.3210015349475
55,-245.0336186423958,-250.62352629242577,-236.9167085098875
56.5,-245.9828072235983,-251.47286609960284,-238.04888273105848
58,-246.89555928226943,-252.29560265822067,-239.1309681858172
60,-248.0615711447265,-253.35597262149003,-240.50307958390545
61.5,-248.90166029348921,-254.1270139360152,-241.48401247503892
63,-249.71519429218347,-254.87977922556502,-242.42739727616566
64.5,-250.5045671076965,-255.61630865086914,-243.33624498807137
66,-251.27196369804977,-256.33847435569754,-244.2132918580735
67.5,-252.01938395539622,-257.04799962102925,-245.06103106699794
68.8,-252.6524121852881,-257.6539296728533,-245.77379719539604
70,-253.225611284125,-258.20671938820226,-246.41489998230037
71.5,-253.92834493928945,-258.8900007311243,-247.19510832570182
73.2,-254.70802408835968,-259.65556781100906,-248.05303386613124
75,-255.5162800547279,-260.4578328233634,-248.93352720746321
76.5,-256.1777781617064,-261.121209746945,-249.64720565982512
78,-256.82956242925326,-261.78099701391665,-250.34413072953447
80,-257.6853560843401,-262.65681750173064,-251.24951937581815
82,-258.5281682775485,-263.53016689495297,-252.13021748917396
84,-259.36017996687326,-264.40305942534377,-252.988784418022
86,-260.1834023637194,-265.2773690532394,-253.82755835318284
88,-260.9996966565334,-266.1548444870496,-254.64868232516588
90,-261.81079098265417,-267.03712184387194,-255.45412663930708
92,-262.6182950620235,-267.92573527075143,-256.24570830319146
94,-263.4237128332557,-268.8221257878257,-257.02510790353125
96,-264.228453373361,-269.72764856759864,-257.7938843111065
98,-265.0338403342488,-270.6435788266686,-258.5534875286045
100,-265.84112008977513,-271.57111647569155,-259.30526994417926
102,-266.65146875478047,-272.5113896488656,-260.05049621092826
104,-267.4659982109405,-273.46545721480186,-260.79035193739804
106,-268.28576125224555,-274.43431035550446,-261.5259513452294
108,-269.11175594469114,-275.41887328874986,-262.258344025975
110,-269.9449292796382,-276.42000320097816,-262.9885209090616
112,-270.78618018775825,-277.4384894525351,-263.7174195360781
115,-272.06505659577937,-279.0003176767046,-264.81030273039175
118,-273.36671409698414,-280.6049275228077,-265.9051146304366
120,-274.24837752762016,-281.6993126335563,-266.63736004695005
122,-275.14195946535364,-282.81391226156603,-267.3723594238848
125,-276.5060776174838,-284.5244173368738,-268.48154066984097
128,-277.9004529225711,-286.2818769931074,-269.60071125560466
130,-278.8477376859299,-287.4797536164568,-270.35341167651274
132,-279.8097443085841,-288.6985794943937,-271.1120694516079
135,-281.2812854587761,-290.5657347792423,-272.2624490189618
138,-282.7881576674263,-292.4786790310908,-273.42928919458785
140,-283.8128706089587,-293.77867102382766,-274.21716289544304
142,-284.85396381438824,-295.0977306613095,-275.01357311760523
145,-286.4466792556069,-297.1104589752876,-276.2251696399162
148,-288.07696046522244,-299.16150326198664,-277.45839790522024
150,-289.18470741797955,-300.54844118128864,-278.2932177515778
155,-292.0265183054847,-304.0755176111356,-280.42717380713606
160,-294.9690146098966,-307.67057006154636,-282.63197313168735
165,-298.00626262492193,-311.3092204843248,-284.9115401125164
170,-301.12940805307653,-314.9648904774953,-287.26868383121524
175,-304.3267215908231,-318.6100729613898,-289.70497616551296
180,-307.58380403275976,-322.21768347601545,-292.22062152296894
185,-310.88396510551905,-325.7623407529956,-294.81432966897125
190,-314.20876880540163,-329.2214398612321,-297.4832053316395
195,-317.5387140393793,-332.57592182255485,-300.2226699102148
200,-320.853997760021,-335.8106985894506,-303.02643110029584
205,-324.1352936351047,-338.9147464474486,-305.8865150088425
210,-327.3644761990059,-341.88092208100335,-308.7933719517578
215,-330.5252291873158,-344.705577926255,-311.7360615217295
220,-333.603495045581,-347.38805764931794,-314.7025150646878
225,-336.58774586703345,-349.93014344264026,-317.6798652993524
230,-339.46907903621275,-352.3355104904581,-320.6548247479674
235,-342.2411593572572,-354.6092258031331,-323.6140883511752
240,-344.9000410657041,-356.75731226353787,-326.5447323354438
245,-347.44390755796246,-358.7863859314752,-329.4345817554259
250,-349.87276516745516,-360.703365787785,-332.27252306734607
255,-352.1881218767265,-362.5152497212129,-335.0487448004547
260,-354.3926745355395,-364.2289478762522,-337.75489758746374
270,-358.48440375126603,-367.38831305439544,-342.9313081475156
275,-360.3804972402372,-368.8464738197461,-345.3925264906175
280,-362.1832252986697,-370.2313574637905,-347.76543131257125
285,-363.8976200127499,-371.54829804907513,-350.04886503292323
290,-365.52870998335464,-372.80225314770325,-352.24274977411415
295,-367.08143630685754,-373.9978132548358,-354.34792096535864
300,-368.5605913899147,-375.1392168436335,-356.3659636451807
