Frequency,Nominal,Min,Max
45.8,-14.44626382523821,-18.01837395230362,-11.999939977469833
47.5,-13.949781431569928,-17.413139936113982,-11.582278986437638
48.8,-13.592131733990914,-16.9762724135401,-11.281751877981119
50,-13.277608572780553,-16.591490442225645,-11.017693574261372
51.5,-12.90401092101134,-16.133731214043237,-10.704312110530937
53,-12.550533554793612,-15.699933539194483,-10.408073671714915
55,-12.107858552438678,-15.155745591354401,-10.03743487917969
56.5,-11.795534072398418,-14.77119656256872,-9.776164272038233
58,-11.498705705350316,-14.405275830440818,-9.528027652754218
60,-11.125135121883595,-13.944139454965773,-9.215967825737541
61.5,-10.86032071028112,-13.616849653618399,-8.99490796860743
63,-10.607678969378274,-13.304300402916626,-8.784123339990995
64.5,-10.366398629486385,-13.005535209269526,-8.5829191257787
66,-10.135738163208798,-12.719677113777413,-8.390661318972684
67.5,-9.915018530594478,-12.445920746032321,-8.206770258161333
68.8,-9.73128639446591,-12.217880041474695,-8.053754208325975
70,-9.567574317186175,-12.014567350402489,-7.917455690577505
71.5,-9.370453002798044,-11.769616390061504,-7.753396794188658
73.2,-9.15656225588263,-11.50364790746007,-7.575447136568713
75,-8.940397071251287,-11.234665604740679,-7.395673460643652
76.5,-8.767845685666206,-11.019822315355452,-7.252219334349434
78,-8.601779549593495,-10.812945837614638,-7.114196391788445
80,-8.389834196160159,-10.548764580263065,-6.938096902266461
82,-8.188012708753645,-10.297048328605712,-6.770465248355225
84,-7.995611305118324,-10.05694426655553,-6.610707673429441
86,-7.811989549129418,-9.827674848897272,-6.458284429054581
88,-7.63656342462916,-9.60852976076913,-6.312703796185669
90,-7.468799292989195,-9.398858875585455,-6.173516880175403
92,-7.308208606398167,-9.198066071232645,-6.040313065684243
94,-7.154343269500634,-9.005603786165327,-5.91271603627726
96,-7.006791558998915,-8.820968215130517,-5.7903802788168175
98,-6.865174524868577,-8.643695059327404,-5.672988005375041
100,-6.72914280848526,-8.473355758413183,-5.560246435815511
102,-6.598373822656755,-8.309554142329542,-5.4518853928422955
104,-6.4725692466544675,-8.151923449806302,-5.347655168515384
106,-6.351452796127357,-8.000123667887673,-5.247324627248467
108,-6.23476823349,-7.853839153158819,-5.150679515349175
110,-6.122277589191165,-7.712776500719721,-5.057520951404959
112,-6.0137595683423095,-7.576662631517611,-4.967664075397854
115,-5.857984320307662,-7.381218839748382,-4.8386962998957195
