Frequency,Nominal,Min,Max
68.8,3.4523729556691997e-7,3.382793837383324e-7,3.5810455067421684e-7
70,3.4442393321784516e-7,3.3771063445159746e-7,3.568503138088168e-7
71.5,3.4346056700963783e-7,3.3703648301034186e-7,3.553650666449447e-7
73.2,3.4243479549861617e-7,3.363179407977628e-7,3.537841761652756e-7
75,3.41418531095653e-7,3.356051848169756e-7,3.5221877982630576e-7
76.5,3.4062184068551927e-7,3.350457113214395e-7,3.5099239015439387e-7
78,3.398671065803434e-7,3.3451503010873545e-7,3.4983139490308337e-7
80,3.389207117909376e-7,3.338485204581822e-7,3.4837694712872406e-7
82,3.380367627099962e-7,3.3322474837881164e-7,3.470201680743958e-7
84,3.372093887062171e-7,3.326396353910711e-7,3.4575204624237365e-7
86,3.3643337897145973e-7,3.3208956499017756e-7,3.445645681622197e-7
88,3.3570409590129054e-7,3.315713214812415e-7,3.434505896200166e-7
90,3.350174014087259e-7,3.3108203803716633e-7,3.4240372571776556e-7
92,3.3436959401906073e-7,3.306191524272867e-7,3.414182567075468e-7
94,3.337573549866514e-7,3.301803691517694e-7,3.4048904708607706e-7
96,3.3317770198970887e-7,3.2976362694621223e-7,3.396114758732167e-7
98,3.3262794921309216e-7,3.2936707080506686e-7,3.3878137635369685e-7
100,3.321056728345536e-7,3.2898902782110135e-7,3.379949838512647e-7
102,3.3160868109681165e-7,3.2862798625848835e-7,3.372488903415874e-7
104,3.3113498828400556e-7,3.2828257737505095e-7,3.3654000490486485e-7
106,3.306827920325932e-7,3.2795155958920407e-7,3.3586551917934917e-7
108,3.302504534984168e-7,3.2763380465275415e-7,3.352228771093591e-7
110,3.298364799772721e-7,3.273282855447338e-7,3.3460974839108675e-7
112,3.2943950963892233e-7,3.270340658460884e-7,3.340240051107203e-7
115,3.2887324214400996e-7,3.2661207218706054e-7,3.3319252592775813e-7
118,3.283386911308403e-7,3.262110093342531e-7,3.3241242849761705e-7
120,3.279982940433682e-7,3.2595413015873427e-7,3.319183228635377e-7
122,3.2766963482697724e-7,3.257049359097448e-7,3.3144335562900953e-7
125,3.271968997458e-7,3.25344351553712e-7,3.3076403346699414e-7
128,3.267462947246711e-7,3.2499812702950194e-7,3.301210475212652e-7
130,3.2645709281530427e-7,3.2477454068286766e-7,3.29710857069752e-7
132,3.2617615881876027e-7,3.2455626453319775e-7,3.293143481812475e-7
135,3.257690798896034e-7,3.2423800094752265e-7,3.287433769092533e-7
138,3.2537771459500347e-7,3.2392971325715426e-7,3.281986316530008e-7
140,3.251247887916975e-7,3.2372922221085396e-7,3.278488605590107e-7
142,3.2487777463949554e-7,3.235324343940167e-7,3.275090508325801e-7
145,3.2451752253040855e-7,3.232436416837983e-7,3.270167231814648e-7
148,3.2416857004783605e-7,3.2296182046931635e-7,3.2654363802357163e-7
150,3.239416917796023e-7,3.2277745922078886e-7,3.262381117695201e-7
155,3.233926061483273e-7,3.2232749332580165e-7,3.2550558023391086e-7
160,3.228663099353631e-7,3.2189106792830405e-7,3.248128333710166e-7
165,3.2235945185858473e-7,3.214659226364746e-7,3.2415452353497235e-7
170,3.2186918096001565e-7,3.210501410622863e-7,3.2352608798291686e-7
175,3.213930628435905e-7,3.2064209317315e-7,3.2292361786165033e-7
180,3.2092901182891726e-7,3.2024038861525137e-7,3.223437519961708e-7
185,3.204752356543212e-7,3.19843838682022e-7,3.2178359025788983e-7
190,3.200301901424532e-7,3.1945142514165144e-7,3.212406224941594e-7
195,3.1959254182616414e-7,3.1906227454211415e-7,3.207126699043112e-7
200,3.191611369737524e-7,3.1867563691747813e-7,3.2019783643100113e-7
205,3.1873497578865283e-7,3.182908680514476e-7,3.1969446825669967e-7
210,3.1831319081617773e-7,3.1790741463194286e-7,3.192011198951641e-7
215,3.1789502878871883e-7,3.175248017677129e-7,3.1871652567686724e-7
220,3.174798352952676e-7,3.1714262244450026e-7,3.182395756678156e-7
225,3.1706704178185226e-7,3.1676052858149875e-7,3.1776929524937307e-7
230,3.1665615448443726e-7,3.1637822341424865e-7,3.1730482773483576e-7
235,3.162467449709145e-7,3.159954549818213e-7,3.168454195157587e-7
240,3.1583844202850977e-7,3.156120105372182e-7,3.1639040732433155e-7
245,3.154309246806372e-7,3.1522014945703235e-7,3.15939207272732e-7
250,3.150239161555385e-7,3.1482266868164976e-7,3.154913053903514e-7
255,3.146171786599578e-7,3.1442489591664847e-7,3.1504624942821343e-7
260,3.142105088361511e-7,3.14026670274697e-7,3.1460364173917643e-7
270,3.133967076820108e-7,3.13191907386501e-7,3.137244171634948e-7
275,3.1298930858095404e-7,3.127750854021167e-7,3.132872259645161e-7
280,3.1258143590255614e-7,3.123584677089492e-7,3.128513254931372e-7
285,3.121730080007296e-7,3.1194192553072604e-7,3.124165121481353e-7
290,3.117639600979405e-7,3.115253509140567e-7,3.120056331671288e-7
295,3.113542424420512e-7,3.1110865448683565e-7,3.115976663864382e-7
300,3.1094381866968615e-7,3.1069176346957254e-7,3.1118879530434613e-7
