Freq.	V(out)
1.62181009735892e+01	(-8.43364048549277e+00dB,-1.53143977169630e+02°)
1.65958690743755e+01	(-8.81439925257166e+00dB,-1.55625078551986e+02°)
1.69824365246174e+01	(-9.20585596032628e+00dB,-1.58084087533187e+02°)
1.73780082874937e+01	(-9.60773535421679e+00dB,-1.60518359989937e+02°)
1.77827941003892e+01	(-1.00197364574319e+01dB,-1.62925447182493e+02°)
1.81970085860998e+01	(-1.04415364868919e+01dB,-1.65303107316673e+02°)
1.86208713666286e+01	(-1.08727948307630e+01dB,-1.67649313206162e+02°)
1.90546071796324e+01	(-1.13131569914588e+01dB,-1.69962256189468e+02°)
1.94984459975804e+01	(-1.17622584089783e+01dB,-1.72240346559147e+02°)
1.99526231496887e+01	(-1.22197280925515e+01dB,-1.74482210841127e+02°)
2.04173794466952e+01	(-1.26851920029351e+01dB,-1.76686686317881e+02°)
2.08929613085403e+01	(-1.31582761423958e+01dB,-1.78852813221817e+02°)
2.13796208950222e+01	(-1.36386093236463e+01dB,1.79020174963644e+02°)
2.18776162394954e+01	(-1.41258256021339e+01dB,1.76932862665067e+02°)
2.23872113856833e+01	(-1.46195663676895e+01dB,1.74885664433918e+02°)
2.29086765276776e+01	(-1.51194821013610e+01dB,1.72878837840426e+02°)
2.34422881531991e+01	(-1.56252338111582e+01dB,1.70912496712126e+02°)
2.39883291901948e+01	(-1.61364941664679e+01dB,1.68986624427764e+02°)
2.45470891568502e+01	(-1.66529483551519e+01dB,1.67101087023609e+02°)
2.51188643150957e+01	(-1.71742946900176e+01dB,1.65255645914854e+02°)
2.57039578276885e+01	(-1.77002449926661e+01dB,1.63449970077850e+02°)
2.63026799189537e+01	(-1.82305247829142e+01dB,1.61683647578397e+02°)
2.69153480392690e+01	(-1.87648733012983e+01dB,1.59956196366314e+02°)
2.75422870333815e+01	(-1.93030433908124e+01dB,1.58267074286849e+02°)
2.81838293126444e+01	(-1.98448012622104e+01dB,1.56615688285000e+02°)
2.88403150312659e+01	(-2.03899261650905e+01dB,1.55001402799737e+02°)
2.95120922666637e+01	(-2.09382099847043e+01dB,1.53423547361745e+02°)
3.01995172040200e+01	(-2.14894567821177e+01dB,1.51881423421160e+02°)
3.09029543251358e+01	(-2.20434822930796e+01dB,1.50374310441121e+02°)
3.16227766016836e+01	(-2.26001133987771e+01dB,1.48901471299592e+02°)
3.23593656929627e+01	(-2.31591875796345e+01dB,1.47462157045976e+02°)
3.31131121482590e+01	(-2.37205523614572e+01dB,1.46055611061270e+02°)
3.38844156139201e+01	(-2.42840647615505e+01dB,1.44681072671062e+02°)
3.46736850452530e+01	(-2.48495907409616e+01dB,1.43337780260101e+02°)
3.54813389233574e+01	(-2.54170046676958e+01dB,1.42024973935611e+02°)
3.63078054770100e+01	(-2.59861887946304e+01dB,1.40741897784355e+02°)
3.71535229097171e+01	(-2.65570327548921e+01dB,1.39487801765810e+02°)
3.80189396320559e+01	(-2.71294330766469e+01dB,1.38261943280915e+02°)
3.89045144994279e+01	(-2.77032927185729e+01dB,1.37063588452789e+02°)
3.98107170553495e+01	(-2.82785206267203e+01dB,1.35892013152748e+02°)
4.07380277804111e+01	(-2.88550313130046e+01dB,1.34746503801891e+02°)
4.16869383470333e+01	(-2.94327444552066e+01dB,1.33626357975585e+02°)
4.26579518801590e+01	(-3.00115845180545e+01dB,1.32530884835392e+02°)
4.36515832240164e+01	(-3.05914803947341e+01dB,1.31459405410327e+02°)
4.46683592150961e+01	(-3.11723650679940e+01dB,1.30411252746902e+02°)
4.57088189614873e+01	(-3.17541752898785e+01dB,1.29385771945148e+02°)
4.67735141287196e+01	(-3.23368512790228e+01dB,1.28382320095753e+02°)
4.78630092322636e+01	(-3.29203364343795e+01dB,1.27400266131544e+02°)
4.89778819368444e+01	(-3.35045770641970e+01dB,1.26438990604897e+02°)
5.01187233627270e+01	(-3.40895221290464e+01dB,1.25497885401081e+02°)
5.12861383991362e+01	(-3.46751229976785e+01dB,1.24576353396212e+02°)
5.24807460249770e+01	(-3.52613332144904e+01dB,1.23673808067269e+02°)
5.37031796370250e+01	(-3.58481082773827e+01dB,1.22789673060538e+02°)
5.49540873857622e+01	(-3.64354054248004e+01dB,1.21923381723923e+02°)
5.62341325190346e+01	(-3.70231834307532e+01dB,1.21074376607697e+02°)
5.75439937337154e+01	(-3.76114024066295e+01dB,1.20242108937569e+02°)
5.88843655355586e+01	(-3.82000236086191e+01dB,1.19426038063280e+02°)
6.02559586074354e+01	(-3.87890092495711e+01dB,1.18625630885429e+02°)
6.16595001861479e+01	(-3.93783223141140e+01dB,1.17840361262723e+02°)
6.30957344480190e+01	(-3.99679263758635e+01dB,1.17069709401496e+02°)
6.45654229034652e+01	(-4.05577854155362e+01dB,1.16313161228985e+02°)
6.60693448007592e+01	(-4.11478636387765e+01dB,1.15570207751613e+02°)
6.76082975391978e+01	(-4.17381252924844e+01dB,1.14840344399299e+02°)
6.91830970918933e+01	(-4.23285344784069e+01dB,1.14123070356725e+02°)
7.07945784384134e+01	(-4.29190549627262e+01dB,1.13417887882335e+02°)
7.24435960074986e+01	(-4.35096499803377e+01dB,1.12724301615872e+02°)
7.41310241300913e+01	(-4.41002820324683e+01dB,1.12041817875259e+02°)
7.58577575029179e+01	(-4.46909126762319e+01dB,1.11369943943709e+02°)
7.76247116628687e+01	(-4.52815023046634e+01dB,1.10708187348132e+02°)
7.94328234724277e+01	(-4.58720099157070e+01dB,1.10056055130100e+02°)
8.12830516164094e+01	(-4.64623928685651e+01dB,1.09413053110930e+02°)
8.31763771102666e+01	(-4.70526066257409e+01dB,1.08778685152845e+02°)
8.51138038202371e+01	(-4.76426044790258e+01dB,1.08152452418608e+02°)
8.70963589956075e+01	(-4.82323372576061e+01dB,1.07533852632617e+02°)
8.91250938133740e+01	(-4.88217530163754e+01dB,1.06922379347147e+02°)
9.12010839355904e+01	(-4.94107967024605e+01dB,1.06317521218208e+02°)
9.33254300796985e+01	(-4.99994097978887e+01dB,1.05718761296485e+02°)
9.54992586021430e+01	(-5.05875299362519e+01dB,1.05125576339927e+02°)
9.77237220955805e+01	(-5.11750904911600e+01dB,1.04537436155884e+02°)
9.99999999999994e+01	(-5.17620201342314e+01dB,1.03953802982163e+02°)
1.02329299228075e+02	(-5.23482423603396e+01dB,1.03374130918150e+02°)
1.04712854805089e+02	(-5.29336749778397e+01dB,1.02797865419086e+02°)
1.07151930523760e+02	(-5.35182295615355e+01dB,1.02224442868841e+02°)
1.09647819614318e+02	(-5.41018108662346e+01dB,1.01653290249048e+02°)
1.12201845430196e+02	(-5.46843161988846e+01dB,1.01083824925278e+02°)
1.14815362149688e+02	(-5.52656347474986e+01dB,1.00515454574073e+02°)
1.17489755493952e+02	(-5.58456468653898e+01dB,9.99475772780769e+01°)
1.20226443461741e+02	(-5.64242233096492e+01dB,9.93795818202594e+01°)
1.23026877081237e+02	(-5.70012244333478e+01dB,9.88108482122301e+01°)
1.25892541179416e+02	(-5.75764993316484e+01dB,9.82407484958971e+01°)
1.28824955169313e+02	(-5.81498849428952e+01dB,9.76686478621277e+01°)
1.31825673855640e+02	(-5.87212051068471e+01dB,9.70939061345392e+01°)
1.34896288259164e+02	(-5.92902695835578e+01dB,9.65158796709272e+01°)
1.38038426460288e+02	(-5.98568730380219e+01dB,9.59339237389434e+01°)
1.41253754462274e+02	(-6.04207939976244e+01dB,9.53473954261966e+01°)
1.44543977074592e+02	(-6.09817937916911e+01dB,9.47556571476614e+01°)
1.47910838816820e+02	(-6.15396154850518e+01dB,9.41580808147275e+01°)
1.51356124843620e+02	(-6.20939828205223e+01dB,9.35540527299188e+01°)
1.54881661891247e+02	(-6.26445991885840e+01dB,9.29429792686857e+01°)
1.58489319246110e+02	(-6.31911466462763e+01dB,9.23242934040446e+01°)
1.62181009735892e+02	(-6.37332850113737e+01dB,9.16974621204627e+01°)
1.65958690743755e+02	(-6.42706510622351e+01dB,9.10619947494459e+01°)
1.69824365246173e+02	(-6.48028578781570e+01dB,9.04174522399389e+01°)
1.73780082874936e+02	(-6.53294943594960e+01dB,8.97634573510699e+01°)
1.77827941003891e+02	(-6.58501249710168e+01dB,8.90997057222435e+01°)
1.81970085860997e+02	(-6.63642897556022e+01dB,8.84259777355703e+01°)
1.86208713666285e+02	(-6.68715046682921e+01dB,8.77421510379081e+01°)
1.90546071796323e+02	(-6.73712622821978e+01dB,8.70482135346190e+01°)
1.94984459975803e+02	(-6.78630329177191e+01dB,8.63442766053898e+01°)
1.99526231496887e+02	(-6.83462662441995e+01dB,8.56305882257645e+01°)
2.04173794466951e+02	(-6.88203933982031e+01dB,8.49075456089895e+01°)
2.08929613085402e+02	(-6.92848296545614e+01dB,8.41757069149868e+01°)
2.13796208950222e+02	(-6.97389776748786e+01dB,8.34358015114390e+01°)
2.18776162394954e+02	(-7.01822313431164e+01dB,8.26887382217631e+01°)
2.23872113856832e+02	(-7.06139801792746e+01dB,8.19356109625723e+01°)
2.29086765276776e+02	(-7.10336143003728e+01dB,8.11777011658536e+01°)
2.34422881531990e+02	(-7.14405298736248e+01dB,8.04164764050199e+01°)
2.39883291901947e+02	(-7.18341349809356e+01dB,7.96535847047561e+01°)
2.45470891568501e+02	(-7.22138557880648e+01dB,7.88908441158166e+01°)
2.51188643150956e+02	(-7.25791428876951e+01dB,7.81302272785735e+01°)
2.57039578276884e+02	(-7.29294776651106e+01dB,7.73738408805912e+01°)
2.63026799189536e+02	(-7.32643785201352e+01dB,7.66239001272483e+01°)
2.69153480392690e+02	(-7.35834067711147e+01dB,7.58826985798210e+01°)
2.75422870333815e+02	(-7.38861720673621e+01dB,7.51525739581772e+01°)
2.81838293126443e+02	(-7.41723371463420e+01dB,7.44358707383886e+01°)
2.88403150312658e+02	(-7.44416217908941e+01dB,7.37349005810142e+01°)
2.95120922666636e+02	(-7.46938058691568e+01dB,7.30519017861397e+01°)
3.00000000000000e+02	(-7.48628780760410e+01dB,7.25776533658232e+01°)
